Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Varones;Balears (Illes);3.956
250 Diabetes mellitus;Varones;Canarias;10.878
250 Diabetes mellitus;Varones;Palmas (Las);5.027
250 Diabetes mellitus;Varones;Santa Cruz de Tenerife;5.851
250 Diabetes mellitus;Varones;Cantabria;2.148
250 Diabetes mellitus;Varones;Castilla y León;11.480
250 Diabetes mellitus;Varones;Avila;512
250 Diabetes mellitus;Varones;Burgos;1.797
250 Diabetes mellitus;Varones;León;1.979
250 Diabetes mellitus;Varones;Palencia;545
250 Diabetes mellitus;Varones;Salamanca;1.727
250 Diabetes mellitus;Varones;Segovia;655
250 Diabetes mellitus;Varones;Soria;347
250 Diabetes mellitus;Varones;Valladolid;2.704
250 Diabetes mellitus;Varones;Zamora;1.213
250 Diabetes mellitus;Varones;Castilla - La Mancha;5.758
250 Diabetes mellitus;Varones;Albacete;1.424
250 Diabetes mellitus;Varones;Ciudad Real;1.891
250 Diabetes mellitus;Varones;Cuenca;597
250 Diabetes mellitus;Varones;Guadalajara;398
250 Diabetes mellitus;Varones;Toledo;1.447
250 Diabetes mellitus;Varones;Cataluña;26.706
250 Diabetes mellitus;Varones;Barcelona;21.324
250 Diabetes mellitus;Varones;Girona;1.837
250 Diabetes mellitus;Varones;Lleida;1.102
250 Diabetes mellitus;Varones;Tarragona;2.444
250 Diabetes mellitus;Varones;Comunitat Valenciana;16.601
250 Diabetes mellitus;Varones;Alicante/Alacant;6.286
250 Diabetes mellitus;Varones;Castellón/Castelló;2.131
250 Diabetes mellitus;Varones;Valencia/València;8.183
250 Diabetes mellitus;Varones;Extremadura;3.894
250 Diabetes mellitus;Varones;Badajoz;2.855
250 Diabetes mellitus;Varones;Cáceres;1.039
250 Diabetes mellitus;Varones;Galicia;9.967
250 Diabetes mellitus;Varones;Coruña (A);4.229
250 Diabetes mellitus;Varones;Lugo;1.640
250 Diabetes mellitus;Varones;Ourense;1.426
250 Diabetes mellitus;Varones;Pontevedra;2.673
250 Diabetes mellitus;Varones;Madrid (Comunidad de);17.131
250 Diabetes mellitus;Varones;Murcia (Región de);6.950
250 Diabetes mellitus;Varones;Navarra (Comun. Foral de);3.179
250 Diabetes mellitus;Varones;País Vasco;7.912
250 Diabetes mellitus;Varones;Alava;991
250 Diabetes mellitus;Varones;Guipúzcoa;3.352
250 Diabetes mellitus;Varones;Vizcaya;3.569
250 Diabetes mellitus;Varones;Rioja (La);1.278
250 Diabetes mellitus;Varones;Ceuta;390
250 Diabetes mellitus;Varones;Melilla;439
250 Diabetes mellitus;Mujeres;Total;135.140
250 Diabetes mellitus;Mujeres;Andalucía;22.742
250 Diabetes mellitus;Mujeres;Almería;2.203
250 Diabetes mellitus;Mujeres;Cádiz;4.765
250 Diabetes mellitus;Mujeres;Córdoba;1.751
250 Diabetes mellitus;Mujeres;Granada;2.661
250 Diabetes mellitus;Mujeres;Huelva;1.602
250 Diabetes mellitus;Mujeres;Jaén;1.402
250 Diabetes mellitus;Mujeres;Málaga;4.199
250 Diabetes mellitus;Mujeres;Sevilla;4.159
250 Diabetes mellitus;Mujeres;Aragón;4.741
250 Diabetes mellitus;Mujeres;Huesca;762
250 Diabetes mellitus;Mujeres;Teruel;411
250 Diabetes mellitus;Mujeres;Zaragoza;3.568
250 Diabetes mellitus;Mujeres;Asturias (Principado de);5.550
250 Diabetes mellitus;Mujeres;Balears (Illes);2.596
250 Diabetes mellitus;Mujeres;Canarias;7.601
250 Diabetes mellitus;Mujeres;Palmas (Las);3.333
250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;4.268
250 Diabetes mellitus;Mujeres;Cantabria;1.765
250 Diabetes mellitus;Mujeres;Castilla y León;10.669
250 Diabetes mellitus;Mujeres;Avila;418
250 Diabetes mellitus;Mujeres;Burgos;1.538
250 Diabetes mellitus;Mujeres;León;1.695
250 Diabetes mellitus;Mujeres;Palencia;558
250 Diabetes mellitus;Mujeres;Salamanca;2.011
250 Diabetes mellitus;Mujeres;Segovia;253
250 Diabetes mellitus;Mujeres;Soria;264
250 Diabetes mellitus;Mujeres;Valladolid;2.722
250 Diabetes mellitus;Mujeres;Zamora;1.210
250 Diabetes mellitus;Mujeres;Castilla - La Mancha;3.776
250 Diabetes mellitus;Mujeres;Albacete;825
250 Diabetes mellitus;Mujeres;Ciudad Real;1.306
250 Diabetes mellitus;Mujeres;Cuenca;377
250 Diabetes mellitus;Mujeres;Guadalajara;383
250 Diabetes mellitus;Mujeres;Toledo;885
250 Diabetes mellitus;Mujeres;Cataluña;23.379
250 Diabetes mellitus;Mujeres;Barcelona;18.548
250 Diabetes mellitus;Mujeres;Girona;1.312
250 Diabetes mellitus;Mujeres;Lleida;940
250 Diabetes mellitus;Mujeres;Tarragona;2.579
250 Diabetes mellitus;Mujeres;Comunitat Valenciana;11.444
250 Diabetes mellitus;Mujeres;Alicante/Alacant;3.996
250 Diabetes mellitus;Mujeres;Castellón/Castelló;1.674
250 Diabetes mellitus;Mujeres;Valencia/València;5.774
250 Diabetes mellitus;Mujeres;Extremadura;2.842
250 Diabetes mellitus;Mujeres;Badajoz;1.847
250 Diabetes mellitus;Mujeres;Cáceres;996
250 Diabetes mellitus;Mujeres;Galicia;8.309
250 Diabetes mellitus;Mujeres;Coruña (A);3.075
250 Diabetes mellitus;Mujeres;Lugo;1.481
250 Diabetes mellitus;Mujeres;Ourense;1.316
250 Diabetes mellitus;Mujeres;Pontevedra;2.436
250 Diabetes mellitus;Mujeres;Madrid (Comunidad de);15.158
250 Diabetes mellitus;Mujeres;Murcia (Región de);4.705
250 Diabetes mellitus;Mujeres;Navarra (Comun. Foral de);2.272
250 Diabetes mellitus;Mujeres;País Vasco;5.618
250 Diabetes mellitus;Mujeres;Alava;1.051
250 Diabetes mellitus;Mujeres;Guipúzcoa;2.281
250 Diabetes mellitus;Mujeres;Vizcaya;2.286
250 Diabetes mellitus;Mujeres;Rioja (La);1.089
250 Diabetes mellitus;Mujeres;Ceuta;380
250 Diabetes mellitus;Mujeres;Melilla;505
