Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Varones;Cuenca;762
250 Diabetes mellitus;Varones;Guadalajara;528
250 Diabetes mellitus;Varones;Toledo;1.445
250 Diabetes mellitus;Varones;Cataluña;28.459
250 Diabetes mellitus;Varones;Barcelona;22.341
250 Diabetes mellitus;Varones;Girona;1.876
250 Diabetes mellitus;Varones;Lleida;2.176
250 Diabetes mellitus;Varones;Tarragona;2.067
250 Diabetes mellitus;Varones;Comunidad Valenciana;15.750
250 Diabetes mellitus;Varones;Alicante/Alacant;5.828
250 Diabetes mellitus;Varones;Castellón/Castelló;1.950
250 Diabetes mellitus;Varones;Valencia/València;7.972
250 Diabetes mellitus;Varones;Extremadura;3.479
250 Diabetes mellitus;Varones;Badajoz;2.501
250 Diabetes mellitus;Varones;Cáceres;978
250 Diabetes mellitus;Varones;Galicia;10.431
250 Diabetes mellitus;Varones;Coruña (A);4.154
250 Diabetes mellitus;Varones;Lugo;1.780
250 Diabetes mellitus;Varones;Ourense;1.273
250 Diabetes mellitus;Varones;Pontevedra;3.224
250 Diabetes mellitus;Varones;Madrid (Comunidad de);16.753
250 Diabetes mellitus;Varones;Murcia (Región de);7.295
250 Diabetes mellitus;Varones;Navarra (Comun. Foral de);2.863
250 Diabetes mellitus;Varones;País Vasco;8.319
250 Diabetes mellitus;Varones;Alava;1.363
250 Diabetes mellitus;Varones;Guipúzcoa;3.793
250 Diabetes mellitus;Varones;Vizcaya;3.163
250 Diabetes mellitus;Varones;Rioja (La);1.935
250 Diabetes mellitus;Varones;Ceuta;723
250 Diabetes mellitus;Varones;Melilla;622
250 Diabetes mellitus;Mujeres;Total;151.286
250 Diabetes mellitus;Mujeres;Andalucía;27.875
250 Diabetes mellitus;Mujeres;Almería;1.686
250 Diabetes mellitus;Mujeres;Cádiz;5.714
250 Diabetes mellitus;Mujeres;Córdoba;2.064
250 Diabetes mellitus;Mujeres;Granada;3.748
250 Diabetes mellitus;Mujeres;Huelva;1.441
250 Diabetes mellitus;Mujeres;Jaén;1.275
250 Diabetes mellitus;Mujeres;Málaga;5.354
250 Diabetes mellitus;Mujeres;Sevilla;6.594
250 Diabetes mellitus;Mujeres;Aragón;5.034
250 Diabetes mellitus;Mujeres;Huesca;810
250 Diabetes mellitus;Mujeres;Teruel;196
250 Diabetes mellitus;Mujeres;Zaragoza;4.028
250 Diabetes mellitus;Mujeres;Asturias (Principado de);5.609
250 Diabetes mellitus;Mujeres;Balears (Illes);3.572
250 Diabetes mellitus;Mujeres;Canarias;9.967
250 Diabetes mellitus;Mujeres;Palmas (Las);4.685
250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;5.283
250 Diabetes mellitus;Mujeres;Cantabria;2.187
250 Diabetes mellitus;Mujeres;Castilla y León;11.624
250 Diabetes mellitus;Mujeres;Avila;489
250 Diabetes mellitus;Mujeres;Burgos;2.468
250 Diabetes mellitus;Mujeres;León;2.292
250 Diabetes mellitus;Mujeres;Palencia;460
250 Diabetes mellitus;Mujeres;Salamanca;2.159
250 Diabetes mellitus;Mujeres;Segovia;357
250 Diabetes mellitus;Mujeres;Soria;411
250 Diabetes mellitus;Mujeres;Valladolid;2.349
250 Diabetes mellitus;Mujeres;Zamora;640
250 Diabetes mellitus;Mujeres;Castilla - La Mancha;4.088
250 Diabetes mellitus;Mujeres;Albacete;469
250 Diabetes mellitus;Mujeres;Ciudad Real;1.590
250 Diabetes mellitus;Mujeres;Cuenca;409
250 Diabetes mellitus;Mujeres;Guadalajara;380
250 Diabetes mellitus;Mujeres;Toledo;1.240
250 Diabetes mellitus;Mujeres;Cataluña;23.721
250 Diabetes mellitus;Mujeres;Barcelona;18.640
250 Diabetes mellitus;Mujeres;Girona;1.512
250 Diabetes mellitus;Mujeres;Lleida;1.523
250 Diabetes mellitus;Mujeres;Tarragona;2.045
250 Diabetes mellitus;Mujeres;Comunidad Valenciana;13.432
250 Diabetes mellitus;Mujeres;Alicante/Alacant;4.386
250 Diabetes mellitus;Mujeres;Castellón/Castelló;1.527
250 Diabetes mellitus;Mujeres;Valencia/València;7.520
250 Diabetes mellitus;Mujeres;Extremadura;3.707
250 Diabetes mellitus;Mujeres;Badajoz;2.712
250 Diabetes mellitus;Mujeres;Cáceres;995
250 Diabetes mellitus;Mujeres;Galicia;10.159
250 Diabetes mellitus;Mujeres;Coruña (A);3.910
250 Diabetes mellitus;Mujeres;Lugo;2.000
250 Diabetes mellitus;Mujeres;Ourense;1.194
250 Diabetes mellitus;Mujeres;Pontevedra;3.055
250 Diabetes mellitus;Mujeres;Madrid (Comunidad de);13.354
250 Diabetes mellitus;Mujeres;Murcia (Región de);5.380
250 Diabetes mellitus;Mujeres;Navarra (Comun. Foral de);2.448
250 Diabetes mellitus;Mujeres;País Vasco;6.506
250 Diabetes mellitus;Mujeres;Alava;1.017
250 Diabetes mellitus;Mujeres;Guipúzcoa;2.236
250 Diabetes mellitus;Mujeres;Vizcaya;3.253
250 Diabetes mellitus;Mujeres;Rioja (La);1.466
250 Diabetes mellitus;Mujeres;Ceuta;579
250 Diabetes mellitus;Mujeres;Melilla;579
