Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Varones;Soria;685
250 Diabetes mellitus;Varones;Valladolid;2.486
250 Diabetes mellitus;Varones;Zamora;1.258
250 Diabetes mellitus;Varones;Castilla - La Mancha;5.258
250 Diabetes mellitus;Varones;Albacete;525
250 Diabetes mellitus;Varones;Ciudad Real;1.550
250 Diabetes mellitus;Varones;Cuenca;1.396
250 Diabetes mellitus;Varones;Guadalajara;207
250 Diabetes mellitus;Varones;Toledo;1.581
250 Diabetes mellitus;Varones;Cataluña;32.419
250 Diabetes mellitus;Varones;Barcelona;26.166
250 Diabetes mellitus;Varones;Girona;2.120
250 Diabetes mellitus;Varones;Lleida;2.362
250 Diabetes mellitus;Varones;Tarragona;1.771
250 Diabetes mellitus;Varones;Comunidad Valenciana;16.082
250 Diabetes mellitus;Varones;Alicante/Alacant;6.151
250 Diabetes mellitus;Varones;Castellón/Castelló;1.647
250 Diabetes mellitus;Varones;Valencia/València;8.284
250 Diabetes mellitus;Varones;Extremadura;3.834
250 Diabetes mellitus;Varones;Badajoz;2.719
250 Diabetes mellitus;Varones;Cáceres;1.115
250 Diabetes mellitus;Varones;Galicia;11.906
250 Diabetes mellitus;Varones;Coruña (A);4.549
250 Diabetes mellitus;Varones;Lugo;1.918
250 Diabetes mellitus;Varones;Ourense;1.356
250 Diabetes mellitus;Varones;Pontevedra;4.083
250 Diabetes mellitus;Varones;Madrid (Comunidad de);19.592
250 Diabetes mellitus;Varones;Murcia (Región de);5.377
250 Diabetes mellitus;Varones;Navarra (Comun. Foral de);2.839
250 Diabetes mellitus;Varones;País Vasco;7.727
250 Diabetes mellitus;Varones;Alava;1.157
250 Diabetes mellitus;Varones;Guipúzcoa;3.399
250 Diabetes mellitus;Varones;Vizcaya;3.171
250 Diabetes mellitus;Varones;Rioja (La);1.741
250 Diabetes mellitus;Varones;Ceuta;508
250 Diabetes mellitus;Varones;Melilla;394
250 Diabetes mellitus;Mujeres;Total;163.491
250 Diabetes mellitus;Mujeres;Andalucía;29.083
250 Diabetes mellitus;Mujeres;Almería;1.199
250 Diabetes mellitus;Mujeres;Cádiz;5.465
250 Diabetes mellitus;Mujeres;Córdoba;2.317
250 Diabetes mellitus;Mujeres;Granada;4.415
250 Diabetes mellitus;Mujeres;Huelva;2.158
250 Diabetes mellitus;Mujeres;Jaén;1.857
250 Diabetes mellitus;Mujeres;Málaga;5.249
250 Diabetes mellitus;Mujeres;Sevilla;6.423
250 Diabetes mellitus;Mujeres;Aragón;5.287
250 Diabetes mellitus;Mujeres;Huesca;784
250 Diabetes mellitus;Mujeres;Teruel;151
250 Diabetes mellitus;Mujeres;Zaragoza;4.352
250 Diabetes mellitus;Mujeres;Asturias (Principado de);5.444
250 Diabetes mellitus;Mujeres;Balears (Illes);4.593
250 Diabetes mellitus;Mujeres;Canarias;11.198
250 Diabetes mellitus;Mujeres;Palmas (Las);5.502
250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;5.696
250 Diabetes mellitus;Mujeres;Cantabria;1.994
250 Diabetes mellitus;Mujeres;Castilla y León;11.584
250 Diabetes mellitus;Mujeres;Avila;544
250 Diabetes mellitus;Mujeres;Burgos;1.776
250 Diabetes mellitus;Mujeres;León;2.403
250 Diabetes mellitus;Mujeres;Palencia;712
250 Diabetes mellitus;Mujeres;Salamanca;2.066
250 Diabetes mellitus;Mujeres;Segovia;457
250 Diabetes mellitus;Mujeres;Soria;340
250 Diabetes mellitus;Mujeres;Valladolid;2.372
250 Diabetes mellitus;Mujeres;Zamora;914
250 Diabetes mellitus;Mujeres;Castilla - La Mancha;4.587
250 Diabetes mellitus;Mujeres;Albacete;719
250 Diabetes mellitus;Mujeres;Ciudad Real;1.336
250 Diabetes mellitus;Mujeres;Cuenca;685
250 Diabetes mellitus;Mujeres;Guadalajara;354
250 Diabetes mellitus;Mujeres;Toledo;1.493
250 Diabetes mellitus;Mujeres;Cataluña;29.238
250 Diabetes mellitus;Mujeres;Barcelona;23.771
250 Diabetes mellitus;Mujeres;Girona;2.059
250 Diabetes mellitus;Mujeres;Lleida;1.740
250 Diabetes mellitus;Mujeres;Tarragona;1.668
250 Diabetes mellitus;Mujeres;Comunidad Valenciana;13.832
250 Diabetes mellitus;Mujeres;Alicante/Alacant;4.217
250 Diabetes mellitus;Mujeres;Castellón/Castelló;1.672
250 Diabetes mellitus;Mujeres;Valencia/València;7.943
250 Diabetes mellitus;Mujeres;Extremadura;3.412
250 Diabetes mellitus;Mujeres;Badajoz;2.346
250 Diabetes mellitus;Mujeres;Cáceres;1.067
250 Diabetes mellitus;Mujeres;Galicia;10.043
250 Diabetes mellitus;Mujeres;Coruña (A);4.061
250 Diabetes mellitus;Mujeres;Lugo;1.523
250 Diabetes mellitus;Mujeres;Ourense;1.143
250 Diabetes mellitus;Mujeres;Pontevedra;3.316
250 Diabetes mellitus;Mujeres;Madrid (Comunidad de);16.709
250 Diabetes mellitus;Mujeres;Murcia (Región de);5.072
250 Diabetes mellitus;Mujeres;Navarra (Comun. Foral de);2.448
250 Diabetes mellitus;Mujeres;País Vasco;6.318
250 Diabetes mellitus;Mujeres;Alava;952
250 Diabetes mellitus;Mujeres;Guipúzcoa;2.541
250 Diabetes mellitus;Mujeres;Vizcaya;2.825
250 Diabetes mellitus;Mujeres;Rioja (La);1.284
250 Diabetes mellitus;Mujeres;Ceuta;368
250 Diabetes mellitus;Mujeres;Melilla;995
