Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Barcelona;53.443
250 Diabetes mellitus;Ambos sexos;Girona;5.527
250 Diabetes mellitus;Ambos sexos;Lleida;4.572
250 Diabetes mellitus;Ambos sexos;Tarragona;5.417
250 Diabetes mellitus;Ambos sexos;Comunidad Valenciana;30.070
250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;11.665
250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;2.572
250 Diabetes mellitus;Ambos sexos;Valencia/València;15.833
250 Diabetes mellitus;Ambos sexos;Extremadura;6.414
250 Diabetes mellitus;Ambos sexos;Badajoz;4.654
250 Diabetes mellitus;Ambos sexos;Cáceres;1.759
250 Diabetes mellitus;Ambos sexos;Galicia;21.827
250 Diabetes mellitus;Ambos sexos;Coruña (A);9.464
250 Diabetes mellitus;Ambos sexos;Lugo;3.957
250 Diabetes mellitus;Ambos sexos;Ourense;2.939
250 Diabetes mellitus;Ambos sexos;Pontevedra;5.467
250 Diabetes mellitus;Ambos sexos;Madrid (Comunidad de);34.737
250 Diabetes mellitus;Ambos sexos;Murcia (Región de);10.380
250 Diabetes mellitus;Ambos sexos;Navarra (Comun. Foral de);5.386
250 Diabetes mellitus;Ambos sexos;País Vasco;14.603
250 Diabetes mellitus;Ambos sexos;Alava;2.284
250 Diabetes mellitus;Ambos sexos;Guipúzcoa;6.162
250 Diabetes mellitus;Ambos sexos;Vizcaya;6.157
250 Diabetes mellitus;Ambos sexos;Rioja (La);2.596
250 Diabetes mellitus;Ambos sexos;Ceuta;738
250 Diabetes mellitus;Ambos sexos;Melilla;556
250 Diabetes mellitus;Varones;Total;185.096
250 Diabetes mellitus;Varones;Andalucía;31.685
250 Diabetes mellitus;Varones;Almería;1.694
250 Diabetes mellitus;Varones;Cádiz;4.957
250 Diabetes mellitus;Varones;Córdoba;2.720
250 Diabetes mellitus;Varones;Granada;4.427
250 Diabetes mellitus;Varones;Huelva;1.697
250 Diabetes mellitus;Varones;Jaén;1.683
250 Diabetes mellitus;Varones;Málaga;6.591
250 Diabetes mellitus;Varones;Sevilla;7.917
250 Diabetes mellitus;Varones;Aragón;7.970
250 Diabetes mellitus;Varones;Huesca;1.056
250 Diabetes mellitus;Varones;Teruel;515
250 Diabetes mellitus;Varones;Zaragoza;6.399
250 Diabetes mellitus;Varones;Asturias (Principado de);6.262
250 Diabetes mellitus;Varones;Balears (Illes);5.075
250 Diabetes mellitus;Varones;Canarias;12.198
250 Diabetes mellitus;Varones;Palmas (Las);5.540
250 Diabetes mellitus;Varones;Santa Cruz de Tenerife;6.658
250 Diabetes mellitus;Varones;Cantabria;2.786
250 Diabetes mellitus;Varones;Castilla y León;12.037
250 Diabetes mellitus;Varones;Avila;1.312
250 Diabetes mellitus;Varones;Burgos;1.933
250 Diabetes mellitus;Varones;León;2.020
250 Diabetes mellitus;Varones;Palencia;526
250 Diabetes mellitus;Varones;Salamanca;2.251
250 Diabetes mellitus;Varones;Segovia;414
250 Diabetes mellitus;Varones;Soria;485
250 Diabetes mellitus;Varones;Valladolid;2.195
250 Diabetes mellitus;Varones;Zamora;901
250 Diabetes mellitus;Varones;Castilla - La Mancha;5.697
250 Diabetes mellitus;Varones;Albacete;1.014
250 Diabetes mellitus;Varones;Ciudad Real;1.513
250 Diabetes mellitus;Varones;Cuenca;903
250 Diabetes mellitus;Varones;Guadalajara;577
250 Diabetes mellitus;Varones;Toledo;1.691
250 Diabetes mellitus;Varones;Cataluña;34.236
250 Diabetes mellitus;Varones;Barcelona;26.722
250 Diabetes mellitus;Varones;Girona;2.236
250 Diabetes mellitus;Varones;Lleida;2.568
250 Diabetes mellitus;Varones;Tarragona;2.709
250 Diabetes mellitus;Varones;Comunidad Valenciana;15.938
250 Diabetes mellitus;Varones;Alicante/Alacant;6.459
250 Diabetes mellitus;Varones;Castellón/Castelló;1.231
250 Diabetes mellitus;Varones;Valencia/València;8.248
250 Diabetes mellitus;Varones;Extremadura;3.582
250 Diabetes mellitus;Varones;Badajoz;2.685
250 Diabetes mellitus;Varones;Cáceres;897
250 Diabetes mellitus;Varones;Galicia;10.930
250 Diabetes mellitus;Varones;Coruña (A);4.664
250 Diabetes mellitus;Varones;Lugo;2.138
250 Diabetes mellitus;Varones;Ourense;1.595
250 Diabetes mellitus;Varones;Pontevedra;2.533
250 Diabetes mellitus;Varones;Madrid (Comunidad de);18.063
250 Diabetes mellitus;Varones;Murcia (Región de);6.046
250 Diabetes mellitus;Varones;Navarra (Comun. Foral de);2.691
250 Diabetes mellitus;Varones;País Vasco;8.236
250 Diabetes mellitus;Varones;Alava;1.389
250 Diabetes mellitus;Varones;Guipúzcoa;3.465
250 Diabetes mellitus;Varones;Vizcaya;3.383
250 Diabetes mellitus;Varones;Rioja (La);1.189
250 Diabetes mellitus;Varones;Ceuta;276
250 Diabetes mellitus;Varones;Melilla;198
250 Diabetes mellitus;Mujeres;Total;172.054
250 Diabetes mellitus;Mujeres;Andalucía;29.597
250 Diabetes mellitus;Mujeres;Almería;1.377
250 Diabetes mellitus;Mujeres;Cádiz;6.147
250 Diabetes mellitus;Mujeres;Córdoba;2.245
250 Diabetes mellitus;Mujeres;Granada;4.201
250 Diabetes mellitus;Mujeres;Huelva;1.632
250 Diabetes mellitus;Mujeres;Jaén;1.752
250 Diabetes mellitus;Mujeres;Málaga;4.725
250 Diabetes mellitus;Mujeres;Sevilla;7.517
250 Diabetes mellitus;Mujeres;Aragón;6.187
250 Diabetes mellitus;Mujeres;Huesca;930
250 Diabetes mellitus;Mujeres;Teruel;308
250 Diabetes mellitus;Mujeres;Zaragoza;4.950
250 Diabetes mellitus;Mujeres;Asturias (Principado de);5.647
250 Diabetes mellitus;Mujeres;Balears (Illes);4.541
250 Diabetes mellitus;Mujeres;Canarias;11.942
250 Diabetes mellitus;Mujeres;Palmas (Las);5.101
250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;6.841
250 Diabetes mellitus;Mujeres;Cantabria;1.762
250 Diabetes mellitus;Mujeres;Castilla y León;12.666
250 Diabetes mellitus;Mujeres;Avila;1.834
250 Diabetes mellitus;Mujeres;Burgos;2.187
250 Diabetes mellitus;Mujeres;León;2.294
250 Diabetes mellitus;Mujeres;Palencia;305
250 Diabetes mellitus;Mujeres;Salamanca;2.023
250 Diabetes mellitus;Mujeres;Segovia;304
250 Diabetes mellitus;Mujeres;Soria;329
250 Diabetes mellitus;Mujeres;Valladolid;2.494
250 Diabetes mellitus;Mujeres;Zamora;896
250 Diabetes mellitus;Mujeres;Castilla - La Mancha;4.831
250 Diabetes mellitus;Mujeres;Albacete;912
250 Diabetes mellitus;Mujeres;Ciudad Real;1.327
250 Diabetes mellitus;Mujeres;Cuenca;1.011
250 Diabetes mellitus;Mujeres;Guadalajara;350
250 Diabetes mellitus;Mujeres;Toledo;1.231
250 Diabetes mellitus;Mujeres;Cataluña;34.724
250 Diabetes mellitus;Mujeres;Barcelona;26.721
250 Diabetes mellitus;Mujeres;Girona;3.291
250 Diabetes mellitus;Mujeres;Lleida;2.004
250 Diabetes mellitus;Mujeres;Tarragona;2.708
250 Diabetes mellitus;Mujeres;Comunidad Valenciana;14.132
250 Diabetes mellitus;Mujeres;Alicante/Alacant;5.207
250 Diabetes mellitus;Mujeres;Castellón/Castelló;1.340
250 Diabetes mellitus;Mujeres;Valencia/València;7.585
250 Diabetes mellitus;Mujeres;Extremadura;2.832
250 Diabetes mellitus;Mujeres;Badajoz;1.969
250 Diabetes mellitus;Mujeres;Cáceres;863
250 Diabetes mellitus;Mujeres;Galicia;10.896
250 Diabetes mellitus;Mujeres;Coruña (A);4.800
250 Diabetes mellitus;Mujeres;Lugo;1.819
250 Diabetes mellitus;Mujeres;Ourense;1.344
250 Diabetes mellitus;Mujeres;Pontevedra;2.934
250 Diabetes mellitus;Mujeres;Madrid (Comunidad de);16.674
250 Diabetes mellitus;Mujeres;Murcia (Región de);4.333
250 Diabetes mellitus;Mujeres;Navarra (Comun. Foral de);2.694
250 Diabetes mellitus;Mujeres;País Vasco;6.367
250 Diabetes mellitus;Mujeres;Alava;895
250 Diabetes mellitus;Mujeres;Guipúzcoa;2.697
250 Diabetes mellitus;Mujeres;Vizcaya;2.775
250 Diabetes mellitus;Mujeres;Rioja (La);1.407
250 Diabetes mellitus;Mujeres;Ceuta;462
250 Diabetes mellitus;Mujeres;Melilla;358
