Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;02 Albacete;1 de enero de 1978;340.836,35
Ambos sexos;Total;02 Albacete;1 de julio de 1977;341.003,22
Ambos sexos;Total;02 Albacete;1 de enero de 1977;341.187,79
Ambos sexos;Total;02 Albacete;1 de julio de 1976;341.035,35
Ambos sexos;Total;02 Albacete;1 de enero de 1976;341.067,95
Ambos sexos;Total;02 Albacete;1 de julio de 1975;341.063,00
Ambos sexos;Total;02 Albacete;1 de enero de 1975;341.202,75
Ambos sexos;Total;02 Albacete;1 de julio de 1974;341.120,49
Ambos sexos;Total;02 Albacete;1 de enero de 1974;341.223,30
Ambos sexos;Total;02 Albacete;1 de julio de 1973;341.191,06
Ambos sexos;Total;02 Albacete;1 de enero de 1973;341.183,95
Ambos sexos;Total;02 Albacete;1 de julio de 1972;340.941,31
Ambos sexos;Total;02 Albacete;1 de enero de 1972;340.895,85
Ambos sexos;Total;02 Albacete;1 de julio de 1971;340.750,31
Ambos sexos;Total;02 Albacete;1 de enero de 1971;340.708,96
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2022;1.923.000,14
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2022;1.904.314,91
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2021;1.897.931,66
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2021;1.895.191,94
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2020;1.889.768,48
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2020;1.885.559,33
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2019;1.873.585,71
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2019;1.862.780,16
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2018;1.848.500,02
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2018;1.845.469,57
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2017;1.838.939,72
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2017;1.842.571,98
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2016;1.839.981,55
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2016;1.842.445,51
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2015;1.839.975,22
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2015;1.842.174,30
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2014;1.848.498,19
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2014;1.850.624,44
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2013;1.850.389,75
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2013;1.854.243,84
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2012;1.853.642,55
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2012;1.853.208,86
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2011;1.847.587,39
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2011;1.844.438,73
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2010;1.840.159,48
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2010;1.840.085,09
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2009;1.837.673,29
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2009;1.836.134,07
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2008;1.828.487,05
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2008;1.817.518,51
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2007;1.793.377,44
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2007;1.766.320,23
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2006;1.739.193,45
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2006;1.713.934,02
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2005;1.688.958,52
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2005;1.661.659,54
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2004;1.628.964,79
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2004;1.602.173,61
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2003;1.572.440,96
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2003;1.542.318,40
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2002;1.509.716,28
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2002;1.478.299,24
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2001;1.455.665,16
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2001;1.447.225,39
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 2000;1.438.269,43
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 2000;1.430.451,47
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1999;1.422.035,96
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1999;1.414.892,45
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1998;1.406.686,82
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1998;1.399.556,19
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1997;1.391.756,39
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1997;1.384.692,59
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1996;1.376.836,00
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1996;1.369.564,40
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1995;1.361.544,81
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1995;1.354.317,22
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1994;1.346.500,65
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1994;1.338.876,08
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1993;1.330.756,34
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1993;1.323.213,60
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1992;1.314.455,74
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1992;1.306.646,89
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1991;1.298.069,16
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1991;1.290.865,21
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1990;1.284.220,82
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1990;1.278.384,44
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1989;1.271.823,08
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1989;1.265.689,22
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1988;1.258.763,74
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1988;1.252.370,89
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1987;1.245.202,63
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1987;1.238.514,26
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1986;1.230.961,24
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1986;1.224.504,42
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1985;1.217.273,78
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1985;1.210.243,86
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1984;1.202.428,23
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1984;1.195.141,11
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1983;1.186.992,88
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1983;1.180.078,81
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1982;1.171.906,42
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1982;1.163.933,03
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1981;1.155.037,62
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1981;1.145.486,33
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1980;1.134.656,85
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1980;1.124.117,36
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1979;1.113.304,56
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1979;1.102.416,66
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1978;1.091.416,12
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1978;1.080.157,97
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1977;1.068.588,04
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1977;1.057.381,04
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1976;1.045.493,76
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1976;1.034.239,85
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1975;1.022.957,71
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1975;1.011.876,97
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1974;999.863,64
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1974;988.790,77
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1973;977.011,78
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1973;965.893,63
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1972;954.254,33
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1972;943.452,04
Ambos sexos;Total;03 Alicante/Alacant;1 de julio de 1971;932.506,80
Ambos sexos;Total;03 Alicante/Alacant;1 de enero de 1971;921.984,90
Ambos sexos;Total;04 Almería;1 de julio de 2022;729.201,09
Ambos sexos;Total;04 Almería;1 de enero de 2022;724.031,18
Ambos sexos;Total;04 Almería;1 de julio de 2021;720.502,65
Ambos sexos;Total;04 Almería;1 de enero de 2021;720.861,00
Ambos sexos;Total;04 Almería;1 de julio de 2020;717.143,02
Ambos sexos;Total;04 Almería;1 de enero de 2020;715.665,43
Ambos sexos;Total;04 Almería;1 de julio de 2019;710.901,93
Ambos sexos;Total;04 Almería;1 de enero de 2019;706.871,00
Ambos sexos;Total;04 Almería;1 de julio de 2018;701.831,39
Ambos sexos;Total;04 Almería;1 de enero de 2018;701.068,94
Ambos sexos;Total;04 Almería;1 de julio de 2017;700.704,28
Ambos sexos;Total;04 Almería;1 de enero de 2017;700.041,05
Ambos sexos;Total;04 Almería;1 de julio de 2016;698.032,96
Ambos sexos;Total;04 Almería;1 de enero de 2016;696.185,76
Ambos sexos;Total;04 Almería;1 de julio de 2015;693.634,06
Ambos sexos;Total;04 Almería;1 de enero de 2015;691.154,61
Ambos sexos;Total;04 Almería;1 de julio de 2014;689.389,58
Ambos sexos;Total;04 Almería;1 de enero de 2014;688.887,97
Ambos sexos;Total;04 Almería;1 de julio de 2013;689.965,69
Ambos sexos;Total;04 Almería;1 de enero de 2013;691.679,88
Ambos sexos;Total;04 Almería;1 de julio de 2012;690.026,48
Ambos sexos;Total;04 Almería;1 de enero de 2012;689.319,87
Ambos sexos;Total;04 Almería;1 de julio de 2011;687.413,14
Ambos sexos;Total;04 Almería;1 de enero de 2011;686.448,28
Ambos sexos;Total;04 Almería;1 de julio de 2010;683.783,11
Ambos sexos;Total;04 Almería;1 de enero de 2010;680.484,15
Ambos sexos;Total;04 Almería;1 de julio de 2009;676.797,10
Ambos sexos;Total;04 Almería;1 de enero de 2009;673.042,26
Ambos sexos;Total;04 Almería;1 de julio de 2008;666.284,15
Ambos sexos;Total;04 Almería;1 de enero de 2008;659.443,41
Ambos sexos;Total;04 Almería;1 de julio de 2007;649.622,02
Ambos sexos;Total;04 Almería;1 de enero de 2007;642.796,77
Ambos sexos;Total;04 Almería;1 de julio de 2006;635.564,19
Ambos sexos;Total;04 Almería;1 de enero de 2006;627.718,55
Ambos sexos;Total;04 Almería;1 de julio de 2005;617.802,26
Ambos sexos;Total;04 Almería;1 de enero de 2005;603.215,25
Ambos sexos;Total;04 Almería;1 de julio de 2004;584.675,23
Ambos sexos;Total;04 Almería;1 de enero de 2004;577.426,79
Ambos sexos;Total;04 Almería;1 de julio de 2003;569.446,66
Ambos sexos;Total;04 Almería;1 de enero de 2003;560.654,64
Ambos sexos;Total;04 Almería;1 de julio de 2002;552.636,64
Ambos sexos;Total;04 Almería;1 de enero de 2002;545.530,60
Ambos sexos;Total;04 Almería;1 de julio de 2001;533.822,77
Ambos sexos;Total;04 Almería;1 de enero de 2001;529.787,92
Ambos sexos;Total;04 Almería;1 de julio de 2000;525.751,67
Ambos sexos;Total;04 Almería;1 de enero de 2000;522.095,42
Ambos sexos;Total;04 Almería;1 de julio de 1999;517.926,71
Ambos sexos;Total;04 Almería;1 de enero de 1999;514.492,01
Ambos sexos;Total;04 Almería;1 de julio de 1998;510.591,54
Ambos sexos;Total;04 Almería;1 de enero de 1998;507.104,07
Ambos sexos;Total;04 Almería;1 de julio de 1997;503.224,29
Ambos sexos;Total;04 Almería;1 de enero de 1997;499.713,52
Ambos sexos;Total;04 Almería;1 de julio de 1996;495.809,57
Ambos sexos;Total;04 Almería;1 de enero de 1996;492.535,63
Ambos sexos;Total;04 Almería;1 de julio de 1995;488.675,48
Ambos sexos;Total;04 Almería;1 de enero de 1995;485.082,33
Ambos sexos;Total;04 Almería;1 de julio de 1994;481.279,50
Ambos sexos;Total;04 Almería;1 de enero de 1994;477.637,68
Ambos sexos;Total;04 Almería;1 de julio de 1993;473.618,27
Ambos sexos;Total;04 Almería;1 de enero de 1993;470.037,87
Ambos sexos;Total;04 Almería;1 de julio de 1992;465.795,88
Ambos sexos;Total;04 Almería;1 de enero de 1992;462.051,89
Ambos sexos;Total;04 Almería;1 de julio de 1991;457.967,16
Ambos sexos;Total;04 Almería;1 de enero de 1991;454.951,04
Ambos sexos;Total;04 Almería;1 de julio de 1990;452.696,71
Ambos sexos;Total;04 Almería;1 de enero de 1990;450.797,22
Ambos sexos;Total;04 Almería;1 de julio de 1989;448.767,33
Ambos sexos;Total;04 Almería;1 de enero de 1989;447.058,39
Ambos sexos;Total;04 Almería;1 de julio de 1988;444.898,71
Ambos sexos;Total;04 Almería;1 de enero de 1988;442.945,04
Ambos sexos;Total;04 Almería;1 de julio de 1987;440.674,24
Ambos sexos;Total;04 Almería;1 de enero de 1987;438.681,83
Ambos sexos;Total;04 Almería;1 de julio de 1986;436.268,50
Ambos sexos;Total;04 Almería;1 de enero de 1986;434.531,91
Ambos sexos;Total;04 Almería;1 de julio de 1985;432.201,90
Ambos sexos;Total;04 Almería;1 de enero de 1985;430.118,89
Ambos sexos;Total;04 Almería;1 de julio de 1984;427.585,70
Ambos sexos;Total;04 Almería;1 de enero de 1984;425.214,01
Ambos sexos;Total;04 Almería;1 de julio de 1983;422.535,26
Ambos sexos;Total;04 Almería;1 de enero de 1983;420.328,74
Ambos sexos;Total;04 Almería;1 de julio de 1982;417.673,78
Ambos sexos;Total;04 Almería;1 de enero de 1982;415.261,10
Ambos sexos;Total;04 Almería;1 de julio de 1981;412.418,05
Ambos sexos;Total;04 Almería;1 de enero de 1981;410.149,33
Ambos sexos;Total;04 Almería;1 de julio de 1980;408.370,08
Ambos sexos;Total;04 Almería;1 de enero de 1980;407.049,48
Ambos sexos;Total;04 Almería;1 de julio de 1979;405.386,39
Ambos sexos;Total;04 Almería;1 de enero de 1979;403.840,93
Ambos sexos;Total;04 Almería;1 de julio de 1978;402.220,99
Ambos sexos;Total;04 Almería;1 de enero de 1978;400.700,25
Ambos sexos;Total;04 Almería;1 de julio de 1977;398.863,63
Ambos sexos;Total;04 Almería;1 de enero de 1977;397.306,68
Ambos sexos;Total;04 Almería;1 de julio de 1976;395.076,55
Ambos sexos;Total;04 Almería;1 de enero de 1976;393.691,37
Ambos sexos;Total;04 Almería;1 de julio de 1975;391.955,10
Ambos sexos;Total;04 Almería;1 de enero de 1975;390.688,23
Ambos sexos;Total;04 Almería;1 de julio de 1974;388.759,11
Ambos sexos;Total;04 Almería;1 de enero de 1974;387.553,31
Ambos sexos;Total;04 Almería;1 de julio de 1973;385.658,41
Ambos sexos;Total;04 Almería;1 de enero de 1973;384.279,55
Ambos sexos;Total;04 Almería;1 de julio de 1972;382.385,61
Ambos sexos;Total;04 Almería;1 de enero de 1972;380.879,84
Ambos sexos;Total;04 Almería;1 de julio de 1971;379.086,71
Ambos sexos;Total;04 Almería;1 de enero de 1971;377.637,10
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2022;331.103,33
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2022;329.797,62
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2021;329.209,35
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2021;329.757,66
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2020;330.157,04
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2020;329.873,00
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2019;328.574,09
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2019;327.682,47
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2018;326.418,93
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2018;325.739,24
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2017;324.569,42
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2017;323.812,29
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2016;322.706,13
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2016;321.803,83
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2015;321.077,04
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2015;320.663,35
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2014;320.297,17
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2014;319.895,00
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2013;319.773,60
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2013;319.927,45
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2012;319.786,37
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2012;320.566,29
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2011;320.546,31
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2011;319.845,93
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2010;318.688,33
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2010;317.737,07
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2009;316.719,61
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2009;315.279,68
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2008;313.153,56
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2008;310.944,31
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2007;308.653,07
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2007;306.475,49
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2006;304.298,51
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2006;302.480,78
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2005;300.723,92
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2005;298.830,33
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2004;296.304,68
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2004;294.303,58
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2003;292.440,43
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2003;290.746,10
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2002;288.500,21
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2002;286.649,80
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2001;285.905,81
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2001;285.197,53
Ambos sexos;Total;01 Araba/Álava;1 de julio de 2000;284.445,26
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2000;283.794,98
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1999;283.217,24
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1999;282.636,51
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1998;281.968,01
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1998;281.402,51
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1997;280.789,88
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1997;280.128,25
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1996;279.507,76
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1996;278.897,27
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1995;278.398,78
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1995;277.795,29
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1994;277.250,97
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1994;276.637,65
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1993;275.922,14
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1993;275.211,62
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1992;274.462,87
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1992;273.726,11
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1991;272.991,84
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1991;272.499,13
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1990;272.281,50
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1990;272.041,11
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1989;271.734,35
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1989;271.300,05
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1988;270.842,24
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1988;270.297,32
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1987;269.753,30
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1987;269.125,28
Ambos sexos;Total;01 Araba/Álava;1 de julio de 1986;268.532,01
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1986;267.831,75
