Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Ciudad Real;3.736
250 Diabetes mellitus;Ambos sexos;Cuenca;1.031
250 Diabetes mellitus;Ambos sexos;Guadalajara;1.083
250 Diabetes mellitus;Ambos sexos;Toledo;2.674
250 Diabetes mellitus;Ambos sexos;Cataluña;51.613
250 Diabetes mellitus;Ambos sexos;Barcelona;41.338
250 Diabetes mellitus;Ambos sexos;Girona;3.694
250 Diabetes mellitus;Ambos sexos;Lleida;2.487
250 Diabetes mellitus;Ambos sexos;Tarragona;4.093
250 Diabetes mellitus;Ambos sexos;Comunidad Valenciana;27.955
250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;10.596
250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;3.605
250 Diabetes mellitus;Ambos sexos;Valencia/València;13.754
250 Diabetes mellitus;Ambos sexos;Extremadura;6.321
250 Diabetes mellitus;Ambos sexos;Badajoz;4.405
250 Diabetes mellitus;Ambos sexos;Cáceres;1.916
250 Diabetes mellitus;Ambos sexos;Galicia;18.861
250 Diabetes mellitus;Ambos sexos;Coruña (A);6.743
250 Diabetes mellitus;Ambos sexos;Lugo;3.781
250 Diabetes mellitus;Ambos sexos;Ourense;2.964
250 Diabetes mellitus;Ambos sexos;Pontevedra;5.373
250 Diabetes mellitus;Ambos sexos;Madrid (Comunidad de);32.407
250 Diabetes mellitus;Ambos sexos;Murcia (Región de);10.863
250 Diabetes mellitus;Ambos sexos;Navarra (Comun. Foral de);5.277
250 Diabetes mellitus;Ambos sexos;País Vasco;13.436
250 Diabetes mellitus;Ambos sexos;Alava;2.512
250 Diabetes mellitus;Ambos sexos;Guipúzcoa;5.380
250 Diabetes mellitus;Ambos sexos;Vizcaya;5.544
250 Diabetes mellitus;Ambos sexos;Rioja (La);2.590
250 Diabetes mellitus;Ambos sexos;Ceuta;1.211
250 Diabetes mellitus;Ambos sexos;Melilla;1.054
250 Diabetes mellitus;Varones;Total;170.917
250 Diabetes mellitus;Varones;Andalucía;31.234
250 Diabetes mellitus;Varones;Almería;2.947
250 Diabetes mellitus;Varones;Cádiz;5.229
250 Diabetes mellitus;Varones;Córdoba;3.594
250 Diabetes mellitus;Varones;Granada;3.743
250 Diabetes mellitus;Varones;Huelva;2.017
250 Diabetes mellitus;Varones;Jaén;1.934
250 Diabetes mellitus;Varones;Málaga;6.121
250 Diabetes mellitus;Varones;Sevilla;5.650
250 Diabetes mellitus;Varones;Aragón;5.228
250 Diabetes mellitus;Varones;Huesca;1.281
250 Diabetes mellitus;Varones;Teruel;363
250 Diabetes mellitus;Varones;Zaragoza;3.584
250 Diabetes mellitus;Varones;Asturias (Principado de);5.801
250 Diabetes mellitus;Varones;Balears (Illes);4.029
250 Diabetes mellitus;Varones;Canarias;11.166
250 Diabetes mellitus;Varones;Palmas (Las);5.211
250 Diabetes mellitus;Varones;Santa Cruz de Tenerife;5.956
250 Diabetes mellitus;Varones;Cantabria;2.834
250 Diabetes mellitus;Varones;Castilla y León;10.389
250 Diabetes mellitus;Varones;Avila;466
250 Diabetes mellitus;Varones;Burgos;1.588
250 Diabetes mellitus;Varones;León;2.312
250 Diabetes mellitus;Varones;Palencia;406
250 Diabetes mellitus;Varones;Salamanca;1.663
250 Diabetes mellitus;Varones;Segovia;337
250 Diabetes mellitus;Varones;Soria;230
250 Diabetes mellitus;Varones;Valladolid;2.411
250 Diabetes mellitus;Varones;Zamora;975
250 Diabetes mellitus;Varones;Castilla - La Mancha;5.650
250 Diabetes mellitus;Varones;Albacete;1.179
250 Diabetes mellitus;Varones;Ciudad Real;2.000
250 Diabetes mellitus;Varones;Cuenca;560
250 Diabetes mellitus;Varones;Guadalajara;642
250 Diabetes mellitus;Varones;Toledo;1.268
250 Diabetes mellitus;Varones;Cataluña;27.153
250 Diabetes mellitus;Varones;Barcelona;21.541
250 Diabetes mellitus;Varones;Girona;2.001
250 Diabetes mellitus;Varones;Lleida;1.359
250 Diabetes mellitus;Varones;Tarragona;2.253
250 Diabetes mellitus;Varones;Comunidad Valenciana;16.351
250 Diabetes mellitus;Varones;Alicante/Alacant;6.256
250 Diabetes mellitus;Varones;Castellón/Castelló;2.011
250 Diabetes mellitus;Varones;Valencia/València;8.084
250 Diabetes mellitus;Varones;Extremadura;3.191
250 Diabetes mellitus;Varones;Badajoz;2.166
250 Diabetes mellitus;Varones;Cáceres;1.025
250 Diabetes mellitus;Varones;Galicia;9.854
250 Diabetes mellitus;Varones;Coruña (A);3.722
250 Diabetes mellitus;Varones;Lugo;2.054
250 Diabetes mellitus;Varones;Ourense;1.481
250 Diabetes mellitus;Varones;Pontevedra;2.598
250 Diabetes mellitus;Varones;Madrid (Comunidad de);18.567
250 Diabetes mellitus;Varones;Murcia (Región de);6.255
250 Diabetes mellitus;Varones;Navarra (Comun. Foral de);3.087
250 Diabetes mellitus;Varones;País Vasco;7.568
250 Diabetes mellitus;Varones;Alava;1.315
250 Diabetes mellitus;Varones;Guipúzcoa;2.997
250 Diabetes mellitus;Varones;Vizcaya;3.256
250 Diabetes mellitus;Varones;Rioja (La);1.580
250 Diabetes mellitus;Varones;Ceuta;553
250 Diabetes mellitus;Varones;Melilla;425
250 Diabetes mellitus;Mujeres;Total;137.703
250 Diabetes mellitus;Mujeres;Andalucía;23.292
250 Diabetes mellitus;Mujeres;Almería;1.994
250 Diabetes mellitus;Mujeres;Cádiz;5.337
250 Diabetes mellitus;Mujeres;Córdoba;1.804
250 Diabetes mellitus;Mujeres;Granada;3.328
250 Diabetes mellitus;Mujeres;Huelva;1.128
250 Diabetes mellitus;Mujeres;Jaén;1.350
250 Diabetes mellitus;Mujeres;Málaga;3.763
250 Diabetes mellitus;Mujeres;Sevilla;4.586
250 Diabetes mellitus;Mujeres;Aragón;4.559
250 Diabetes mellitus;Mujeres;Huesca;716
250 Diabetes mellitus;Mujeres;Teruel;328
250 Diabetes mellitus;Mujeres;Zaragoza;3.514
250 Diabetes mellitus;Mujeres;Asturias (Principado de);5.706
250 Diabetes mellitus;Mujeres;Balears (Illes);2.278
250 Diabetes mellitus;Mujeres;Canarias;8.430
250 Diabetes mellitus;Mujeres;Palmas (Las);4.492
250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;3.938
250 Diabetes mellitus;Mujeres;Cantabria;2.171
250 Diabetes mellitus;Mujeres;Castilla y León;9.194
250 Diabetes mellitus;Mujeres;Avila;450
250 Diabetes mellitus;Mujeres;Burgos;1.390
250 Diabetes mellitus;Mujeres;León;1.433
250 Diabetes mellitus;Mujeres;Palencia;576
250 Diabetes mellitus;Mujeres;Salamanca;1.854
250 Diabetes mellitus;Mujeres;Segovia;267
250 Diabetes mellitus;Mujeres;Soria;246
250 Diabetes mellitus;Mujeres;Valladolid;1.980
250 Diabetes mellitus;Mujeres;Zamora;998
250 Diabetes mellitus;Mujeres;Castilla - La Mancha;5.070
250 Diabetes mellitus;Mujeres;Albacete;1.018
250 Diabetes mellitus;Mujeres;Ciudad Real;1.735
250 Diabetes mellitus;Mujeres;Cuenca;470
250 Diabetes mellitus;Mujeres;Guadalajara;440
250 Diabetes mellitus;Mujeres;Toledo;1.407
250 Diabetes mellitus;Mujeres;Cataluña;24.459
250 Diabetes mellitus;Mujeres;Barcelona;19.797
250 Diabetes mellitus;Mujeres;Girona;1.694
250 Diabetes mellitus;Mujeres;Lleida;1.128
250 Diabetes mellitus;Mujeres;Tarragona;1.841
250 Diabetes mellitus;Mujeres;Comunidad Valenciana;11.604
250 Diabetes mellitus;Mujeres;Alicante/Alacant;4.340
250 Diabetes mellitus;Mujeres;Castellón/Castelló;1.594
250 Diabetes mellitus;Mujeres;Valencia/València;5.670
250 Diabetes mellitus;Mujeres;Extremadura;3.130
250 Diabetes mellitus;Mujeres;Badajoz;2.239
250 Diabetes mellitus;Mujeres;Cáceres;891
250 Diabetes mellitus;Mujeres;Galicia;9.006
250 Diabetes mellitus;Mujeres;Coruña (A);3.022
250 Diabetes mellitus;Mujeres;Lugo;1.727
250 Diabetes mellitus;Mujeres;Ourense;1.484
250 Diabetes mellitus;Mujeres;Pontevedra;2.775
250 Diabetes mellitus;Mujeres;Madrid (Comunidad de);13.839
250 Diabetes mellitus;Mujeres;Murcia (Región de);4.609
250 Diabetes mellitus;Mujeres;Navarra (Comun. Foral de);2.189
250 Diabetes mellitus;Mujeres;País Vasco;5.868
250 Diabetes mellitus;Mujeres;Alava;1.197
250 Diabetes mellitus;Mujeres;Guipúzcoa;2.383
250 Diabetes mellitus;Mujeres;Vizcaya;2.288
250 Diabetes mellitus;Mujeres;Rioja (La);1.011
250 Diabetes mellitus;Mujeres;Ceuta;657
250 Diabetes mellitus;Mujeres;Melilla;628
