Diagnóstico;Sexo;Comunidad y provincia de hospitalización;Total
- Diabetes;Mujeres;Girona;1.438
- Diabetes;Mujeres;Lleida;1.993
- Diabetes;Mujeres;Tarragona;942
- Diabetes;Mujeres;Comunidad Valenciana;13.767
- Diabetes;Mujeres;Alicante;5.438
- Diabetes;Mujeres;Castellón de la Plana;1.307
- Diabetes;Mujeres;Valencia;7.022
- Diabetes;Mujeres;Extremadura;3.938
- Diabetes;Mujeres;Badajoz;3.164
- Diabetes;Mujeres;Cáceres;774
- Diabetes;Mujeres;Galicia;11.389
- Diabetes;Mujeres;Coruña (A);4.739
- Diabetes;Mujeres;Lugo;1.898
- Diabetes;Mujeres;Ourense;1.246
- Diabetes;Mujeres;Pontevedra;3.505
- Diabetes;Mujeres;Madrid (Comunidad de);17.398
- Diabetes;Mujeres;Murcia (Región de);3.797
- Diabetes;Mujeres;Navarra (Comun. Foral de);2.393
- Diabetes;Mujeres;País Vasco;6.906
- Diabetes;Mujeres;Alava;994
- Diabetes;Mujeres;Guipúzcoa;2.670
- Diabetes;Mujeres;Vizcaya;3.243
- Diabetes;Mujeres;Rioja (La);1.077
- Diabetes;Mujeres;Ceuta;235
- Diabetes;Mujeres;Melilla;449
