Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Varones;Aragón;4.820
250 Diabetes mellitus;Varones;Huesca;818
250 Diabetes mellitus;Varones;Teruel;407
250 Diabetes mellitus;Varones;Zaragoza;3.595
250 Diabetes mellitus;Varones;Asturias (Principado de);5.627
250 Diabetes mellitus;Varones;Balears (Illes);4.531
250 Diabetes mellitus;Varones;Canarias;9.861
250 Diabetes mellitus;Varones;Palmas (Las);4.487
250 Diabetes mellitus;Varones;Santa Cruz de Tenerife;5.375
250 Diabetes mellitus;Varones;Cantabria;2.245
250 Diabetes mellitus;Varones;Castilla y León;10.779
250 Diabetes mellitus;Varones;Avila;545
250 Diabetes mellitus;Varones;Burgos;1.675
250 Diabetes mellitus;Varones;León;1.867
250 Diabetes mellitus;Varones;Palencia;627
250 Diabetes mellitus;Varones;Salamanca;1.602
250 Diabetes mellitus;Varones;Segovia;388
250 Diabetes mellitus;Varones;Soria;417
250 Diabetes mellitus;Varones;Valladolid;2.540
250 Diabetes mellitus;Varones;Zamora;1.118
250 Diabetes mellitus;Varones;Castilla - La Mancha;6.056
250 Diabetes mellitus;Varones;Albacete;1.320
250 Diabetes mellitus;Varones;Ciudad Real;1.616
250 Diabetes mellitus;Varones;Cuenca;866
250 Diabetes mellitus;Varones;Guadalajara;595
250 Diabetes mellitus;Varones;Toledo;1.660
250 Diabetes mellitus;Varones;Cataluña;27.143
250 Diabetes mellitus;Varones;Barcelona;22.531
250 Diabetes mellitus;Varones;Girona;1.394
250 Diabetes mellitus;Varones;Lleida;1.153
250 Diabetes mellitus;Varones;Tarragona;2.065
250 Diabetes mellitus;Varones;Comunitat Valenciana;15.718
250 Diabetes mellitus;Varones;Alicante/Alacant;6.686
250 Diabetes mellitus;Varones;Castellón/Castelló;1.795
250 Diabetes mellitus;Varones;Valencia/València;7.238
250 Diabetes mellitus;Varones;Extremadura;3.726
250 Diabetes mellitus;Varones;Badajoz;2.620
250 Diabetes mellitus;Varones;Cáceres;1.106
250 Diabetes mellitus;Varones;Galicia;10.991
250 Diabetes mellitus;Varones;Coruña (A);3.981
250 Diabetes mellitus;Varones;Lugo;2.148
250 Diabetes mellitus;Varones;Ourense;1.380
250 Diabetes mellitus;Varones;Pontevedra;3.481
250 Diabetes mellitus;Varones;Madrid (Comunidad de);17.802
250 Diabetes mellitus;Varones;Murcia (Región de);6.569
250 Diabetes mellitus;Varones;Navarra (Comun. Foral de);2.717
250 Diabetes mellitus;Varones;País Vasco;7.900
250 Diabetes mellitus;Varones;Alava;1.292
250 Diabetes mellitus;Varones;Guipúzcoa;4.000
250 Diabetes mellitus;Varones;Vizcaya;2.608
250 Diabetes mellitus;Varones;Rioja (La);1.281
250 Diabetes mellitus;Varones;Ceuta;671
250 Diabetes mellitus;Varones;Melilla;615
250 Diabetes mellitus;Mujeres;Total;128.955
250 Diabetes mellitus;Mujeres;Andalucía;20.410
250 Diabetes mellitus;Mujeres;Almería;1.831
250 Diabetes mellitus;Mujeres;Cádiz;3.539
250 Diabetes mellitus;Mujeres;Córdoba;1.319
250 Diabetes mellitus;Mujeres;Granada;2.678
250 Diabetes mellitus;Mujeres;Huelva;1.800
250 Diabetes mellitus;Mujeres;Jaén;1.170
250 Diabetes mellitus;Mujeres;Málaga;3.685
250 Diabetes mellitus;Mujeres;Sevilla;4.388
250 Diabetes mellitus;Mujeres;Aragón;3.941
250 Diabetes mellitus;Mujeres;Huesca;853
250 Diabetes mellitus;Mujeres;Teruel;236
250 Diabetes mellitus;Mujeres;Zaragoza;2.851
250 Diabetes mellitus;Mujeres;Asturias (Principado de);5.032
250 Diabetes mellitus;Mujeres;Balears (Illes);2.611
250 Diabetes mellitus;Mujeres;Canarias;8.509
250 Diabetes mellitus;Mujeres;Palmas (Las);4.107
250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;4.402
250 Diabetes mellitus;Mujeres;Cantabria;1.713
250 Diabetes mellitus;Mujeres;Castilla y León;10.248
250 Diabetes mellitus;Mujeres;Avila;453
250 Diabetes mellitus;Mujeres;Burgos;1.771
250 Diabetes mellitus;Mujeres;León;1.953
250 Diabetes mellitus;Mujeres;Palencia;499
250 Diabetes mellitus;Mujeres;Salamanca;1.585
250 Diabetes mellitus;Mujeres;Segovia;374
250 Diabetes mellitus;Mujeres;Soria;389
250 Diabetes mellitus;Mujeres;Valladolid;2.038
250 Diabetes mellitus;Mujeres;Zamora;1.186
250 Diabetes mellitus;Mujeres;Castilla - La Mancha;4.686
250 Diabetes mellitus;Mujeres;Albacete;860
250 Diabetes mellitus;Mujeres;Ciudad Real;1.448
250 Diabetes mellitus;Mujeres;Cuenca;511
250 Diabetes mellitus;Mujeres;Guadalajara;342
250 Diabetes mellitus;Mujeres;Toledo;1.526
250 Diabetes mellitus;Mujeres;Cataluña;21.360
250 Diabetes mellitus;Mujeres;Barcelona;16.585
250 Diabetes mellitus;Mujeres;Girona;1.309
250 Diabetes mellitus;Mujeres;Lleida;950
250 Diabetes mellitus;Mujeres;Tarragona;2.515
250 Diabetes mellitus;Mujeres;Comunitat Valenciana;11.226
250 Diabetes mellitus;Mujeres;Alicante/Alacant;4.123
250 Diabetes mellitus;Mujeres;Castellón/Castelló;1.295
250 Diabetes mellitus;Mujeres;Valencia/València;5.809
250 Diabetes mellitus;Mujeres;Extremadura;2.738
250 Diabetes mellitus;Mujeres;Badajoz;2.047
250 Diabetes mellitus;Mujeres;Cáceres;691
250 Diabetes mellitus;Mujeres;Galicia;8.402
250 Diabetes mellitus;Mujeres;Coruña (A);3.561
250 Diabetes mellitus;Mujeres;Lugo;1.215
250 Diabetes mellitus;Mujeres;Ourense;1.303
250 Diabetes mellitus;Mujeres;Pontevedra;2.322
250 Diabetes mellitus;Mujeres;Madrid (Comunidad de);13.490
250 Diabetes mellitus;Mujeres;Murcia (Región de);4.680
250 Diabetes mellitus;Mujeres;Navarra (Comun. Foral de);1.507
250 Diabetes mellitus;Mujeres;País Vasco;5.629
250 Diabetes mellitus;Mujeres;Alava;1.229
250 Diabetes mellitus;Mujeres;Guipúzcoa;2.270
250 Diabetes mellitus;Mujeres;Vizcaya;2.130
250 Diabetes mellitus;Mujeres;Rioja (La);1.525
250 Diabetes mellitus;Mujeres;Ceuta;897
250 Diabetes mellitus;Mujeres;Melilla;350
